id,source_id,damage_gra,damage_class,damage_percent,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,source_confidence,source_provider,centroid_lat,centroid_lon,google_maps_url
msft_catia_03579,15131,Damaged,external-predicted-damaged,100.0,1.0,0.816748,0.591788,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.593039903690194,-67.01772690587995,"https://www.google.com/maps/search/?api=1&query=10.593039903690194,-67.01772690587995"
msft_catia_03580,15134,Damaged,external-predicted-damaged,44.9,0.341317,0.405386,0.449136,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5930926437506,-67.01764740613787,"https://www.google.com/maps/search/?api=1&query=10.5930926437506,-67.01764740613787"
msft_catia_03581,15135,Damaged,external-predicted-damaged,100.0,1.0,0.791111,0.666635,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.593103503685125,-67.01774204588365,"https://www.google.com/maps/search/?api=1&query=10.593103503685125,-67.01774204588365"
msft_catia_03582,15137,Damaged,external-predicted-damaged,100.0,1.0,0.881392,0.732268,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5931412836706,-67.01776744584042,"https://www.google.com/maps/search/?api=1&query=10.5931412836706,-67.01776744584042"
msft_catia_03583,15157,Damaged,external-predicted-damaged,71.7,0.717021,0.365931,0.201761,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59201096204464,-67.01994437900375,"https://www.google.com/maps/search/?api=1&query=10.59201096204464,-67.01994437900375"
msft_catia_03584,15160,Damaged,external-predicted-damaged,11.1,0.0616,0.103804,0.111049,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.591830056639445,-67.02104836658732,"https://www.google.com/maps/search/?api=1&query=10.591830056639445,-67.02104836658732"
msft_catia_03585,15161,Damaged,external-predicted-damaged,0.3,0.002743,0.000362,0.000145,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.591864185832012,-67.02086325857718,"https://www.google.com/maps/search/?api=1&query=10.591864185832012,-67.02086325857718"
msft_catia_03586,15171,Damaged,external-predicted-damaged,1.7,0.009766,0.001523,0.017451,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592131961878776,-67.02019597839394,"https://www.google.com/maps/search/?api=1&query=10.592131961878776,-67.02019597839394"
msft_catia_03587,15174,Damaged,external-predicted-damaged,33.3,0.202492,0.333199,0.225187,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592213862075655,-67.0199254192016,"https://www.google.com/maps/search/?api=1&query=10.592213862075655,-67.0199254192016"
msft_catia_03588,15186,Damaged,external-predicted-damaged,10.2,0.101955,0.044793,0.040296,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592297356024465,-67.0204162807597,"https://www.google.com/maps/search/?api=1&query=10.592297356024465,-67.0204162807597"
msft_catia_03589,15199,Damaged,external-predicted-damaged,16.0,0.08365,0.143608,0.160197,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592362902018834,-67.0200249990327,"https://www.google.com/maps/search/?api=1&query=10.592362902018834,-67.0200249990327"
msft_catia_03590,15202,Damaged,external-predicted-damaged,39.0,0.146341,0.389732,0.328904,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59249620193312,-67.02016383874384,"https://www.google.com/maps/search/?api=1&query=10.59249620193312,-67.02016383874384"
msft_catia_03591,15204,Damaged,external-predicted-damaged,53.8,0.371528,0.537675,0.40996,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59258296195407,-67.02014475885882,"https://www.google.com/maps/search/?api=1&query=10.59258296195407,-67.02014475885882"
msft_catia_03592,15205,Damaged,external-predicted-damaged,100.0,1.0,0.628319,0.326148,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592645562051327,-67.02001385926606,"https://www.google.com/maps/search/?api=1&query=10.592645562051327,-67.02001385926606"
msft_catia_03593,15206,Damaged,external-predicted-damaged,98.3,0.982609,0.532068,0.449015,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592660081986262,-67.02010845901455,"https://www.google.com/maps/search/?api=1&query=10.592660081986262,-67.02010845901455"
msft_catia_03594,15207,Damaged,external-predicted-damaged,59.7,0.040685,0.440102,0.596754,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592779522054276,-67.02002633932747,"https://www.google.com/maps/search/?api=1&query=10.592779522054276,-67.02002633932747"
msft_catia_03595,15208,Damaged,external-predicted-damaged,58.3,0.569079,0.58309,0.564787,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592817882126418,-67.01992823962652,"https://www.google.com/maps/search/?api=1&query=10.592817882126418,-67.01992823962652"
msft_catia_03596,15214,Damaged,external-predicted-damaged,13.6,0.006309,0.135709,0.104495,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592698062459203,-67.01943882089559,"https://www.google.com/maps/search/?api=1&query=10.592698062459203,-67.01943882089559"
msft_catia_03597,15215,Damaged,external-predicted-damaged,33.4,0.28866,0.334278,0.188918,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592738902363624,-67.01958018053351,"https://www.google.com/maps/search/?api=1&query=10.592738902363624,-67.01958018053351"
msft_catia_03598,15216,Damaged,external-predicted-damaged,21.3,0.213423,0.177385,0.147877,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592844822443515,-67.01947946088825,"https://www.google.com/maps/search/?api=1&query=10.592844822443515,-67.01947946088825"
msft_catia_03599,15217,Damaged,external-predicted-damaged,34.5,0.338753,0.34466,0.299022,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592843942336872,-67.01963140046698,"https://www.google.com/maps/search/?api=1&query=10.592843942336872,-67.01963140046698"
msft_catia_03600,15218,Damaged,external-predicted-damaged,31.4,0.00885,0.314103,0.228386,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592862262399716,-67.01954408072186,"https://www.google.com/maps/search/?api=1&query=10.592862262399716,-67.01954408072186"
msft_catia_03601,15220,Damaged,external-predicted-damaged,42.6,0.42596,0.399913,0.394159,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592550301676562,-67.020536477751,"https://www.google.com/maps/search/?api=1&query=10.592550301676562,-67.020536477751"
msft_catia_03602,15221,Damaged,external-predicted-damaged,57.4,0.557471,0.574443,0.551949,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592621101709288,-67.0204986179065,"https://www.google.com/maps/search/?api=1&query=10.592621101709288,-67.0204986179065"
msft_catia_03603,15222,Damaged,external-predicted-damaged,100.0,1.0,0.916753,0.632347,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592644501641209,-67.02059863764639,"https://www.google.com/maps/search/?api=1&query=10.592644501641209,-67.02059863764639"
msft_catia_03604,15223,Damaged,external-predicted-damaged,94.6,0.945701,0.695547,0.620249,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592727061804206,-67.02037643832065,"https://www.google.com/maps/search/?api=1&query=10.592727061804206,-67.02037643832065"
msft_catia_03605,15224,Damaged,external-predicted-damaged,100.0,1.0,0.993815,0.844774,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592751481749813,-67.02045705811496,"https://www.google.com/maps/search/?api=1&query=10.592751481749813,-67.02045705811496"
msft_catia_03606,15225,Damaged,external-predicted-damaged,100.0,1.0,0.912256,0.761135,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592757721663029,-67.0205816177746,"https://www.google.com/maps/search/?api=1&query=10.592757721663029,-67.0205816177746"
msft_catia_03607,15226,Damaged,external-predicted-damaged,100.0,1.0,0.924078,0.69458,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59278612184463,-67.02032613850221,"https://www.google.com/maps/search/?api=1&query=10.59278612184463,-67.02032613850221"
msft_catia_03608,15227,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.851635,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59282018175696,-67.02045541816872,"https://www.google.com/maps/search/?api=1&query=10.59282018175696,-67.02045541816872"
msft_catia_03609,15228,Damaged,external-predicted-damaged,100.0,1.0,0.798803,0.780076,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592856341666524,-67.02058890925362,"https://www.google.com/maps/search/?api=1&query=10.592856341666524,-67.02058890925362"
msft_catia_03610,15230,Damaged,external-predicted-damaged,79.9,0.799213,0.555772,0.639764,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592852122059142,-67.02002843937366,"https://www.google.com/maps/search/?api=1&query=10.592852122059142,-67.02002843937366"
msft_catia_03611,15231,Damaged,external-predicted-damaged,100.0,1.0,0.783006,0.679296,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592904202082668,-67.02000137948589,"https://www.google.com/maps/search/?api=1&query=10.592904202082668,-67.02000137948589"
msft_catia_03612,15232,Damaged,external-predicted-damaged,92.0,0.920174,0.75446,0.597746,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592920522163194,-67.01988857980987,"https://www.google.com/maps/search/?api=1&query=10.592920522163194,-67.01988857980987"
msft_catia_03613,15233,Damaged,external-predicted-damaged,100.0,1.0,0.99125,0.754586,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592980362133032,-67.01993903971304,"https://www.google.com/maps/search/?api=1&query=10.592980362133032,-67.01993903971304"
msft_catia_03614,15234,Damaged,external-predicted-damaged,100.0,1.0,0.920491,0.793098,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.593001402001438,-67.02012931920133,"https://www.google.com/maps/search/?api=1&query=10.593001402001438,-67.02012931920133"
msft_catia_03615,15235,Damaged,external-predicted-damaged,100.0,1.0,0.856899,0.726765,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.593036282171465,-67.01989119988555,"https://www.google.com/maps/search/?api=1&query=10.593036282171465,-67.01989119988555"
msft_catia_03616,15236,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.881573,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59303122205014,-67.02006357940468,"https://www.google.com/maps/search/?api=1&query=10.59303122205014,-67.02006357940468"
msft_catia_03617,15237,Damaged,external-predicted-damaged,84.7,0.847222,0.799206,0.712577,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.593112342160492,-67.01991631987049,"https://www.google.com/maps/search/?api=1&query=10.593112342160492,-67.01991631987049"
msft_catia_03618,15238,Damaged,external-predicted-damaged,93.5,0.935345,0.664219,0.757459,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.593140501958697,-67.02020759908426,"https://www.google.com/maps/search/?api=1&query=10.593140501958697,-67.02020759908426"
msft_catia_03619,15239,Damaged,external-predicted-damaged,67.5,0.52439,0.594331,0.675123,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592914727362341,-67.02062252348809,"https://www.google.com/maps/search/?api=1&query=10.592914727362341,-67.02062252348809"
